Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-50-5930-01A-11D-1753-08	1084	0	0	83	0
TCGA-50-5931-01A-11D-1753-08	240	1	9	38	34
TCGA-50-5932-01A-11D-1753-08	74	4	0	0	0
TCGA-50-5933-01A-11D-1753-08	376	29	29	23	57
TCGA-50-5935-01A-11D-1753-08	0	0	0	21	73
TCGA-50-5939-01A-11D-1625-08	15	9	0	18	31
TCGA-50-5941-01A-11D-1753-08	310	0	0	28	42
TCGA-50-5942-01A-21D-1753-08	45	4	0	0	7
TCGA-50-5946-01A-11D-1753-08	453	25	2	43	172
TCGA-50-5946-02A-11D-2107-08	473	26	1	45	195
TCGA-50-6590-01A-12D-1855-08	644	0	0	49	210
TCGA-50-6591-01A-11D-1753-08	20	9	10	0	11
TCGA-50-6592-01A-11D-1753-08	172	16	13	17	82
TCGA-50-6593-01A-11D-1753-08	261	0	0	34	28
TCGA-50-6594-01A-11D-1753-08	458	0	26	0	63
TCGA-50-6595-01A-12D-1855-08	23	2	4	14	37
TCGA-50-6597-01A-11D-1855-08	3	12	6	3	30
TCGA-50-6673-01A-11D-1945-08	0	15	0	21	15
TCGA-50-7109-01A-11D-2036-08	195	14	4	25	13
TCGA-50-8457-01A-11D-2323-08	29	6	0	11	9
TCGA-50-8460-01A-11D-2323-08	9	8	3	2	7
TCGA-53-7624-01A-11D-2063-08	545	14	28	60	196
TCGA-53-7626-01A-12D-2063-08	290	0	0	26	49
TCGA-53-7813-01A-11D-2167-08	112	8	3	28	5
TCGA-55-1592-01A-01D-0969-08	341	0	0	95	112
TCGA-55-1592-01A-01W-0928-08	311	0	21	90	100
TCGA-55-1594-01A-01D-1040-01	55	14	13	1	76
TCGA-55-1594-01A-01W-0928-08	47	5	11	13	77
TCGA-55-1595-01A-01D-0969-08	297	14	0	0	23
TCGA-55-1596-01A-01D-1040-01	123	5	4	42	24
TCGA-55-1596-01A-01W-0928-08	129	3	6	33	21
TCGA-55-5899-01A-11D-1625-08	306	6	10	23	129
TCGA-55-6543-01A-11D-1753-08	0	18	0	0	4
TCGA-55-6642-01A-11D-1855-08	95	0	9	15	9
TCGA-55-6712-01A-11D-1855-08	36	11	0	0	90
TCGA-55-6968-01A-11D-1945-08	104	3	10	8	402
TCGA-55-6969-01A-11D-1945-08	339	0	0	39	33
TCGA-55-6970-01A-11D-1945-08	123	3	3	27	24
TCGA-55-6971-01A-11D-1945-08	60	0	0	12	12
TCGA-55-6972-01A-11D-1945-08	110	0	0	0	166
TCGA-55-6975-01A-11D-1945-08	35	11	3	8	14
TCGA-55-6978-01A-11D-1945-08	0	6	0	21	0
TCGA-55-6979-01A-11D-1945-08	75	0	0	0	39
TCGA-55-6980-01A-11D-1945-08	0	11	0	0	0
TCGA-55-6981-01A-11D-1945-08	7	15	4	11	12
TCGA-55-6982-01A-11D-1945-08	0	13	0	0	208
TCGA-55-6984-01A-11D-1945-08	0	0	15	5	0
TCGA-55-6985-01A-11D-1945-08	395	7	23	25	8
TCGA-55-6987-01A-11D-1945-08	90	5	9	7	72
TCGA-55-7281-01A-11D-2036-08	357	3	1	37	64
TCGA-55-7283-01A-11D-2036-08	107	30	9	22	60
TCGA-55-7284-01B-11D-2238-08	6	20	7	5	5
TCGA-55-7570-01A-11D-2036-08	239	3	1	28	122
TCGA-55-7573-01A-11D-2036-08	36	0	4	0	11
TCGA-55-7574-01A-11D-2036-08	91	0	0	0	142
TCGA-55-7724-01A-11D-2167-08	82	19	20	39	51
TCGA-55-7725-01A-11D-2167-08	121	10	0	0	10
TCGA-55-7726-01A-11D-2167-08	0	22	0	0	93
TCGA-55-7727-01A-11D-2167-08	115	9	2	23	116
TCGA-55-7815-01A-11D-2167-08	121	21	0	0	14
TCGA-55-7903-01A-11D-2167-08	78	15	12	25	26
TCGA-55-7907-01A-11D-2167-08	929	8	20	37	237
TCGA-55-7910-01A-11D-2167-08	268	20	15	11	9
TCGA-55-7911-01A-11D-2167-08	187	12	11	0	33
TCGA-55-7913-01B-11D-2238-08	245	6	19	36	48
